Real Name,Py Name,Subscripts,Units,Limits,Type,Subtype,Comment
AMM Consistent Economic Land Conversion Demand,amm_consistent_economic_land_conversion_demand,,km2/Year,"(nan, nan)",Auxiliary,Normal,AMM Consistent Economic Land Conversion Demand AMM-basierte jährliche Nachfrage nach zusätzlicher urbaner Fläche. Sie ergibt sich aus dem Urban Land Gap geteilt durch die Anpassungszeit der urbanen Expansion.
AMM Fringe Condition Gap,amm_fringe_condition_gap,,EUR/km2,"(nan, nan)",Auxiliary,Normal,"Differenz zwischen urbaner Rente am AMM-Fringe und Agricultural Rent. Ein Wert nahe null zeigt, dass die Fringe-Bedingung erfüllt ist."
Additional Urban Land Needed for Clearing,additional_urban_land_needed_for_clearing,,km2,"(nan, nan)",Auxiliary,Normal,"Zusätzliche urbane Fläche, die benötigt würde, um den Household Clearing Gap vollständig zu schliessen."
Aggricultural Land,aggricultural_land,,km2,"(nan, nan)",Stateful,Integ,"Aggricultural Land Stock für die landwirtschaftliche Fläche. Aggricultural Land sinkt, wenn Fläche in urbane Nutzung umgewandelt wird. Deshalb geht Land Conversion Rate mit negativem Vorzeichen in diesen Stock ein."
Aggricultural Land Requirement,aggricultural_land_requirement,,km2,"(nan, nan)",Auxiliary,Normal,Differenz zwischen der benötigten landwirtschaftlichen Fläche für den Kalorienbedarf und der aktuell vorhandenen Aggricultural Land.
Agricultural Rent,agricultural_rent,,EUR/km2,"(nan, nan)",Stateful,Integ,Agricultural Rent Stock für die landwirtschaftliche Bodenrente. Die Variable passt sich über Agricultural Rent Change schrittweise an Desired Agricultural Rent an. Agricultural Rent wird später in der AMM- und Urban-Land-Conversion-Logik verwendet.
Agricultural Rent Adjustment Time,agricultural_rent_adjustment_time,,Year,"(nan, nan)",Constant,Normal,"Agricultural Rent Adjustment Time Anpassungszeit der landwirtschaftlichen Bodenrente. Je höher dieser Wert ist, desto langsamer passt sich Agricultural Rent an Desired Agricultural Rent an."
Agricultural Rent Change,agricultural_rent_change,,(EUR/km2)/Year,"(nan, nan)",Auxiliary,Normal,"Agricultural Rent Change Anpassungsrate der landwirtschaftlichen Bodenrente. Sie beschreibt, wie schnell Agricultural Rent auf den gewünschten Rentenwert reagiert."
Agricultural Rent Sensitivity to Scarcity,agricultural_rent_sensitivity_to_scarcity,,Dmnl,"(nan, nan)",Constant,Normal,"Agricultural Rent Sensitivity to Scarcity Sensitivität der landwirtschaftlichen Bodenrente gegenüber landwirtschaftlicher Knappheit. Ein höherer Wert bedeutet, dass Desired Agricultural Rent stärker auf steigende Relative Agricultural Scarcity reagiert."
Agricultural Scarcity Index,agricultural_scarcity_index,,Dmnl,"(nan, nan)",Auxiliary,Normal,"Agricultural Scarcity Index Dimensionsloser Knappheitsindex der landwirtschaftlichen Fläche. Ein Wert von 1 bedeutet, dass die benötigte Fläche ungefähr der verfügbaren Aggricultural Land entspricht. Werte über 1 deuten auf Knappheit hin."
Average Commuting Distance,average_commuting_distance,,km,"(nan, nan)",Constant,Normal,Average Commuting Distance Durchschnittliche Pendeldistanz. Diese Distanz wird mit den jährlichen Transportkosten pro Kilometer und Haushalt multipliziert.
Average Workdays per Capita,average_workdays_per_capita,,Dmnl/Person,"(nan, nan)",Constant,Normal,"Average Workdays per Capita Annualisierungsfaktor für die Transportkosten. Der Wert gibt an, wie viele Arbeitstage bzw. Pendeltage pro Person und Jahr angenommen werden. Der Faktor 2 in der Transportkostenrechnung steht für Hin- und Rückweg."
Base Income Growth Rate,base_income_growth_rate,,Dmnl/Year,"(nan, nan)",Constant,Normal,Base Income Growth Rate Grundannahme für das jährliche Einkommenswachstum. Dieser Wert gilt unabhängig vom zusätzlichen Produktivitätseffekt.
Caloric Baseline Need pP,caloric_baseline_need_pp,,kcal/Person/Year,"(nan, nan)",Constant,Normal,Caloric Baseline Need pP Jährlicher Kalorienbedarf pro Person. Der Wert wird aus einem angenommenen Tagesbedarf von 3400 kcal multipliziert mit 365 Tagen berechnet.
Cobb Douglas Utility Index,cobb_douglas_utility_index,,Dmnl,"(nan, nan)",Auxiliary,Normal,"Cobb Douglas Utility Index Dimensionsloser Nutzenindex auf Basis einer Cobb-Douglas-Logik. Der Index kombiniert relativen sonstigen Konsum und relative Landnachfrage pro Haushalt. Ein Wert von 1 entspricht dem Nutzen im Startzustand. Werte über 1 zeigen eine Verbesserung gegenüber dem Startzustand, Werte unter 1 eine Verschlechterung."
Commuters per Household,commuters_per_household,,Person/Household,"(nan, nan)",Auxiliary,Normal,"Commuters per Household Berechnete Anzahl pendelnder Personen pro Haushalt. Die Variable kombiniert Haushaltsgrösse, Erwerbsquote und Pendleranteil. Sie bestimmt, wie stark Transportkosten auf einen durchschnittlichen Haushalt wirken.Commuters per Household Berechnete Anzahl pendelnder Personen pro Haushalt. Die Variable kombiniert Haushaltsgrösse, Erwerbsquote und Pendleranteil. Sie bestimmt, wie stark Transportkosten auf einen durchschnittlichen Haushalt wirken."
