name,kind,units,equation,vensim_comment,views,inputs,outputs,n_inputs,n_outputs,priority,purpose,logic,assumption,source,calibration,interpretation,status,suggested_priority,suggested_reason,needs_source,needs_assumption
Desired Agricultural Rent,auxiliary,EUR/km2,Initial Agricultural Rent * ( Relative Agricultural Scarcity ^ Agricultural Rent Sensitivity to Scarcity ),"Desired Agricultural Rent
 
 Gewünschte landwirtschaftliche Bodenrente.
 
 Sie steigt, wenn Relative Agricultural Scarcity über 1 liegt.
 Die Sensitivität bestimmt, wie stark die Rente auf Knappheit
 reagiert.",08_Agriculture_and_Scarcity,Agricultural Rent; Agricultural Rent Sensitivity to Scarcity; Initial Agricultural Rent; Relative Agricultural Scarcity,Agricultural Rent Change,4,1,high,Beschreibt die gewünschte landwirtschaftliche Bodenrente aufgrund relativer Knappheit.,Initial Agricultural Rent wird mit Relative Agricultural Scarcity hoch Sensitivity skaliert.,Knappere landwirtschaftliche Fläche erhöht Bodenrente über eine Elastizitätsannahme.,"Alonso (1964), Muth (1969), Mills (1967); Mills URL: https://www.jstor.org/stable/1821621; Muth URL: https://www.cambridge.org/core/journals/recherches-economiques-de-louvain-louvain-economic-review/article/rf-muth-cities-and-housing-the-spatial-pattern-of-urban-residential-land-use-chicago-and-london-the-university-of-chicago-press-1969-xxii-p-355-p-90/0AA8AA64AD2123A62CED306A63423327; agricultural scarcity context: FAO Food Balance Sheets / dietary energy supply: https://www.fao.org/statistics/highlights-archive/highlights-detail/food-balance-sheets-2010-2023/en; Eurostat agricultural production crops: https://ec.europa.eu/eurostat/statistics-explained/index.php?title=Agricultural_production_-_crops",Sensitivity to Scarcity als Szenario-/Kalibrierparameter dokumentieren; empirische Ableitung aus Bodenpreis-/Pachtdaten wäre besser.,Höhere relative Knappheit führt zu höherer gewünschter landwirtschaftlicher Rente.,draft,high,zentrale Variable aus empfohlener Startliste,False,False
Desired Mean Urban Rent,auxiliary,EUR/km2,Initial Mean Urban Rent * (Land Tightness Index ^ Urban Rent Sensitivity to Land Tightness),"Desired Mean Urban Rent
 
 Gewünschte mittlere urbane Miete.
 
 Wenn Land Tightness Index über 1 liegt, steigt der gewünschte
 Mietwert. Wenn der Index unter 1 liegt, sinkt der gewünschte
 Mietwert.
 
 Die Sensitivität bestimmt, wie stark die Miete auf Knappheit
 reagiert.",04_Urban_Rent_and_Land_Tightness,Initial Mean Urban Rent; Land Tightness Index; Mean Urban Rent; Urban Rent Sensitivity to Land Tightness,Mean Urban Rent Change,4,1,high,Beschreibt den gewünschten Mietwert aufgrund urbaner Landknappheit.,Initial Mean Urban Rent wird mit Land Tightness Index hoch Urban Rent Sensitivity skaliert.,"Knappheit erhöht Mieten nicht linear zwingend, sondern über eine Elastizitätsannahme.","Alonso (1964), Muth (1969), Mills (1967); Mills URL: https://www.jstor.org/stable/1821621; Muth URL: https://www.cambridge.org/core/journals/recherches-economiques-de-louvain-louvain-economic-review/article/rf-muth-cities-and-housing-the-spatial-pattern-of-urban-residential-land-use-chicago-and-london-the-university-of-chicago-press-1969-xxii-p-355-p-90/0AA8AA64AD2123A62CED306A63423327; Housing affordability context: Eurostat housing-cost overburden / housing affordability: https://ec.europa.eu/eurostat/databrowser/view/tespm140/default/table?lang=en; Eurostat Housing in Europe 2024: https://ec.europa.eu/eurostat/web/interactive-publications/housing-2024",Urban Rent Sensitivity sollte als Szenario-/Kalibrierparameter dokumentiert und mit Sensitivität getestet werden.,"Wenn Land Tightness Index über 1 liegt, steigt gewünschte Miete; unter 1 sinkt sie.",draft,high,zentrale Variable aus empfohlener Startliste,False,False
Desired Urban Land Total,auxiliary,km2,Desired Urban Land * Urban Aggregate Scale Factor * Household Scaling Factor,"Desired Urban Land Total
 
 Gesamte gewünschte urbane Fläche.
 
 Die Variable ergibt sich aus der gewünschten Landfläche pro Haushalt
 multipliziert mit der Anzahl Haushalte.
 
 Sie ist der zentrale Nachfrageinput für die spätere
 Urban-Land-Conversion-View.",05_AMM_Budget_and_Housing_Demand; 09_Urban_Land_Conversion_Logic,Desired Urban Land; Household Scaling Factor; Urban Aggregate Scale Factor; Urban Land,Urban Land Gap,4,1,high,Beschreibt die gesamte gewünschte urbane Fläche im Modell.,Gewünschte Landfläche pro Haushalt wird mit Skalierungsfaktoren und Haushaltszahl verknüpft.,Die aggregierte urbane Flächennachfrage kann aus Haushaltsnachfrage und Skalierungsfaktoren approximiert werden.,"Alonso (1964), Muth (1969), Mills (1967); Mills URL: https://www.jstor.org/stable/1821621; Muth URL: https://www.cambridge.org/core/journals/recherches-economiques-de-louvain-louvain-economic-review/article/rf-muth-cities-and-housing-the-spatial-pattern-of-urban-residential-land-use-chicago-and-london-the-university-of-chicago-press-1969-xxii-p-355-p-90/0AA8AA64AD2123A62CED306A63423327","Muss über Land Demand per Household, Household Scaling Factor und beobachtete Urban Land plausibilisiert werden.","Je höher dieser Wert über Urban Land liegt, desto stärker wird der Urban Land Gap.",draft,high,zentrale Variable aus empfohlener Startliste,False,False
Innovation Index,auxiliary,Dmnl,Total Urban Innovation Potential / Reference Total Innovation Potential,Relativer Innovationsindex. Er vergleicht das aktuelle Total Urban Innovation Potential mit dem initialen Referenzwert.,03_Income_and_Productivity; 08_Agriculture_and_Scarcity; 11_Innovation_and_City_Size,Reference Total Innovation Potential; Total Urban Innovation Potential,Urban Productivity Effect; Yield,2,2,high,Normalisiert das gesamte modellierte Innovationspotenzial relativ zum Startwert.,Total Urban Innovation Potential wird durch Reference Total Innovation Potential geteilt.,"Das Startjahr wird als Referenzniveau gesetzt. Der Index misst relative Veränderung, nicht absolute Innovationsleistung.",Bettencourt et al. (2007): https://www.pnas.org/doi/10.1073/pnas.0610172104; Bettencourt et al. (2010): https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0013541,Keine externe Zahl nötig; der Index wird endogen aus dem initialen Referenzwert normalisiert.,Ein Wert über 1 bedeutet höheres Innovationspotenzial als im Startjahr; ein Wert unter 1 ein tieferes relatives Innovationspotenzial.,draft,high,zentrale Variable aus empfohlener Startliste,False,False
Innovation Large,auxiliary,Dmnl,Equivalent Number of Large Cities * Representative Large City Size ^ Urban Scaling Exponent Large,"Innovationsbeitrag der grossen Stadtklasse. Der Wert folgt der Urban-Scaling-Logik, bei der Innovation überproportional mit der Stadtgrösse skaliert.",11_Innovation_and_City_Size,Equivalent Number of Large Cities; Representative Large City Size; Urban Scaling Exponent Large,Total Urban Innovation Potential,3,1,high,Beschreibt den modellierten Innovationsbeitrag der grossen Stadtklasse.,Die äquivalente Anzahl grossen Städte wird mit der repräsentativen Stadtgrösse hoch dem Urban-Scaling-Exponent kombiniert.,Innovation wird als superlinear skalierende sozioökonomische Grösse modelliert. Ein einheitlicher Exponent von 1.15 ist als Basisannahme besser belegbar als stark unterschiedliche Exponenten je Stadtklasse.,Bettencourt et al. (2007): https://www.pnas.org/doi/10.1073/pnas.0610172104; Bettencourt et al. (2010): https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0013541,Empfohlener Basiswert für die Exponenten: 1.15; sinnvoller Sensitivitätsbereich: 1.10 bis 1.20. Für patentnahe Innovationsgrössen kann 1.20 bis 1.25 getestet werden.,Höhere Werte erhöhen das Total Urban Innovation Potential; sehr grosse Städte wirken wegen der Potenzfunktion überproportional.,draft,low,technisch extrahiert; vermutlich nur bei Bedarf vertiefen,False,False
Innovation Medium,auxiliary,Dmnl,Equivalent Number of Medium Cities * Representative Medium City Size ^ Urban Scaling Exponent Medium,"Innovationsbeitrag der mittleren Stadtklasse. Der Wert folgt der Urban-Scaling-Logik, bei der Innovation überproportional mit der Stadtgrösse skaliert.",11_Innovation_and_City_Size,Equivalent Number of Medium Cities; Representative Medium City Size; Urban Scaling Exponent Medium,Total Urban Innovation Potential,3,1,high,Beschreibt den modellierten Innovationsbeitrag der mittleren Stadtklasse.,Die äquivalente Anzahl mittleren Städte wird mit der repräsentativen Stadtgrösse hoch dem Urban-Scaling-Exponent kombiniert.,Innovation wird als superlinear skalierende sozioökonomische Grösse modelliert. Ein einheitlicher Exponent von 1.15 ist als Basisannahme besser belegbar als stark unterschiedliche Exponenten je Stadtklasse.,Bettencourt et al. (2007): https://www.pnas.org/doi/10.1073/pnas.0610172104; Bettencourt et al. (2010): https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0013541,Empfohlener Basiswert für die Exponenten: 1.15; sinnvoller Sensitivitätsbereich: 1.10 bis 1.20. Für patentnahe Innovationsgrössen kann 1.20 bis 1.25 getestet werden.,Höhere Werte erhöhen das Total Urban Innovation Potential; sehr grosse Städte wirken wegen der Potenzfunktion überproportional.,draft,low,technisch extrahiert; vermutlich nur bei Bedarf vertiefen,False,False
Innovation Small,auxiliary,Dmnl,Equivalent Number of Small Cities * Representative Small City Size ^ Urban Scaling Exponent Small,"Innovationsbeitrag der kleinen Stadtklasse. Der Wert folgt der Urban-Scaling-Logik, bei der Innovation überproportional mit der Stadtgrösse skaliert.",11_Innovation_and_City_Size,Equivalent Number of Small Cities; Representative Small City Size; Urban Scaling Exponent Small,Total Urban Innovation Potential,3,1,high,Beschreibt den modellierten Innovationsbeitrag der kleinen Stadtklasse.,Die äquivalente Anzahl kleinen Städte wird mit der repräsentativen Stadtgrösse hoch dem Urban-Scaling-Exponent kombiniert.,Innovation wird als superlinear skalierende sozioökonomische Grösse modelliert. Ein einheitlicher Exponent von 1.15 ist als Basisannahme besser belegbar als stark unterschiedliche Exponenten je Stadtklasse.,Bettencourt et al. (2007): https://www.pnas.org/doi/10.1073/pnas.0610172104; Bettencourt et al. (2010): https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0013541,Empfohlener Basiswert für die Exponenten: 1.15; sinnvoller Sensitivitätsbereich: 1.10 bis 1.20. Für patentnahe Innovationsgrössen kann 1.20 bis 1.25 getestet werden.,Höhere Werte erhöhen das Total Urban Innovation Potential; sehr grosse Städte wirken wegen der Potenzfunktion überproportional.,draft,low,technisch extrahiert; vermutlich nur bei Bedarf vertiefen,False,False
Innovation very Large,auxiliary,Dmnl,Equivalent Number of Very Large Cities * Representative Very Large City Size ^ Urban Scaling Exponent very Large,"Innovationsbeitrag der sehr grossen Stadtklasse. Der Wert folgt der Urban-Scaling-Logik, bei der Innovation überproportional mit der Stadtgrösse skaliert.",11_Innovation_and_City_Size,Equivalent Number of Very Large Cities; Representative Very Large City Size; Urban Scaling Exponent very Large,Total Urban Innovation Potential,3,1,high,Beschreibt den modellierten Innovationsbeitrag der sehr grossen Stadtklasse.,Die äquivalente Anzahl sehr grossen Städte wird mit der repräsentativen Stadtgrösse hoch dem Urban-Scaling-Exponent kombiniert.,Innovation wird als superlinear skalierende sozioökonomische Grösse modelliert. Ein einheitlicher Exponent von 1.15 ist als Basisannahme besser belegbar als stark unterschiedliche Exponenten je Stadtklasse.,Bettencourt et al. (2007): https://www.pnas.org/doi/10.1073/pnas.0610172104; Bettencourt et al. (2010): https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0013541,Empfohlener Basiswert für die Exponenten: 1.15; sinnvoller Sensitivitätsbereich: 1.10 bis 1.20. Für patentnahe Innovationsgrössen kann 1.20 bis 1.25 getestet werden.,Höhere Werte erhöhen das Total Urban Innovation Potential; sehr grosse Städte wirken wegen der Potenzfunktion überproportional.,draft,low,technisch extrahiert; vermutlich nur bei Bedarf vertiefen,False,False
Land Demand per Household q,auxiliary,km2/Household,"ZIDZ(Housing Land Expenditure, Mean Urban Rent)","Land Demand per Household q
 
 Gewünschte urbane Landfläche pro Haushalt.
 
 Die Variable ergibt sich aus dem Wohnbudget pro Haushalt
 geteilt durch die mittlere urbane Miete pro km2.
 
 Je höher das Wohnbudget oder je tiefer die Miete,
 desto höher ist die Landnachfrage pro Haushalt.",04_Urban_Rent_and_Land_Tightness; 05_AMM_Budget_and_Housing_Demand; 09_Urban_Land_Conversion_Logic,Housing Land Expenditure; Mean Urban Rent,Additional Urban Land Needed for Clearing; Household Capacity of Current Urban Land; Relative Land Demand per Household; Urban Fringe Radius; Urban Land Required for Households; Urban Rent at Current Fringe; Urban Rent at Fringe,2,7,high,Beschreibt die gewünschte urbane Landfläche pro Haushalt.,Wohnbudget für Land wird durch Mean Urban Rent geteilt; ZIDZ schützt vor Division durch Null.,"Haushalte fragen mehr Land nach, wenn Wohnbudget höher oder Renten tiefer sind; das ist AMM-/Budgetlogik.","Alonso (1964), Muth (1969), Mills (1967); Mills URL: https://www.jstor.org/stable/1821621; Muth URL: https://www.cambridge.org/core/journals/recherches-economiques-de-louvain-louvain-economic-review/article/rf-muth-cities-and-housing-the-spatial-pattern-of-urban-residential-land-use-chicago-and-london-the-university-of-chicago-press-1969-xxii-p-355-p-90/0AA8AA64AD2123A62CED306A63423327; Housing affordability context: Eurostat housing-cost overburden / housing affordability: https://ec.europa.eu/eurostat/databrowser/view/tespm140/default/table?lang=en; Eurostat Housing in Europe 2024: https://ec.europa.eu/eurostat/web/interactive-publications/housing-2024",Direkte Werte sollten gegen beobachtete Wohnfläche/Grundstücksfläche je Haushalt plausibilisiert werden.,Zentrale Nachfragevariable: höhere Land Demand pro Haushalt erhöht gewünschte urbane Fläche.,draft,high,zentrale Variable aus empfohlener Startliste; stark vernetzt,False,False
Number of Households,auxiliary,Household,Expected Population / Mean Household Size,"Die Variable verbindet den exogenen Bevölkerungspfad mit der Nachfrage nach Wohnfläche und urbanem Land. Je höher die Bevölkerung oder je kleiner die Haushaltsgrösse, desto mehr Haushalte entstehen.",01_Population_Household; 04_Urban_Rent_and_Land_Tightness; 05_AMM_Budget_and_Housing_Demand; 09_Urban_Land_Conversion_Logic,Expected Population; Mean Household Size,Current Urban Land per Household; Household Clearing Gap; Household Scaling Factor; Reference Initial Number of Households; Urban Land Required for Households,2,5,high,Berechnet die Anzahl Haushalte aus Bevölkerung und Haushaltsgrösse.,Expected Population wird durch Mean Household Size geteilt.,Durchschnittliche Haushaltsgrösse repräsentiert die gesamte Bevölkerung; Unterschiede nach Ländern/Urbanität werden abstrahiert.,"Eurostat Housing in Europe 2024, average household size: https://ec.europa.eu/eurostat/web/interactive-publications/housing-2024; Eurostat household composition: https://ec.europa.eu/eurostat/statistics-explained/index.php?title=Household_composition_statistics",EU-Durchschnitt ca. 2.3 Personen pro Haushalt als plausibler Startwert; Trend kann über Desired Mean Household Size abgebildet werden.,Mehr Haushalte erhöhen Wohnflächen- und Landnachfrage.,draft,high,zentrale Variable aus empfohlener Startliste; stark vernetzt,False,False
